Date;Arrivals to Italy;;;;;;;
10/1/15;343;;;;;;;
10/2/15;0;;;;;;;
10/3/15;128;;;;;;;
10/4/15;62;;;;;;;
10/5/15;0;;;;;;;
10/6/15;2.001;;;;;;;
10/7/15;1.010;;;;;;;
10/8/15;0;;;;;;;
10/9/15;572;;;;;;;
10/10/15;134;;;;;;;
10/11/15;237;;;;;;;
10/12/15;698;;;;;;;
10/13/15;0;;;;;;;
10/14/15;207;;;;;;;
10/15/15;0;;;;;;;
10/16/15;102;;;;;;;
10/17/15;0;;;;;;;
10/18/15;0;;;;;;;
10/19/15;125;;;;;;;
10/20/15;979;;;;;;;
10/21/15;219;;;;;;;
10/22/15;76;;;;;;;
10/23/15;0;;;;;;;
10/24/15;0;;;;;;;
10/25/15;0;;;;;;;
10/26/15;0;;;;;;;
10/27/15;224;;;;;;;
10/28/15;218;;;;;;;
10/29/15;0;;;;;;;
10/30/15;823;;;;;;;
10/31/15;0;;;;;;;
11/1/15;0;;;;;;;
11/2/15;0;;;;;;;
11/3/15;0;;;;;;;
11/4/15;0;;;;;;;
11/5/15;526;;;;;;;
11/6/15;920;;;;;;;
11/7/15;0;;;;;;;
11/8/15;9;;;;;;;
11/9/15;6;;;;;;;
11/10/15;0;;;;;;;
11/11/15;24;;;;;;;
11/12/15;16;;;;;;;
11/13/15;2;;;;;;;
11/14/15;1.014;;;;;;;
11/15/15;0;;;;;;;
11/16/15;0;;;;;;;
11/17/15;13;;;;;;;
11/18/15;0;;;;;;;
11/19/15;0;;;;;;;
11/20/15;111;;;;;;;
11/21/15;0;;;;;;;
11/22/15;0;;;;;;;
11/23/15;5;;;;;;;
11/24/15;89;;;;;;;
11/25/15;406;;;;;;;
11/26/15;0;;;;;;;
11/27/15;0;;;;;;;
11/28/15;0;;;;;;;
11/29/15;0;;;;;;;
11/30/15;0;;;;;;;
12/1/15;0;;;;;;;
12/2/15;0;;;;;;;
12/3/15;1;;;;;;;
12/4/15;1.769;;;;;;;
12/5/15;837;;;;;;;
12/6/15;1.304;;;;;;;
12/7/15;1.003;;;;;;;
12/8/15;0;;;;;;;
12/9/15;212;;;;;;;
12/10/15;181;;;;;;;
12/11/15;0;;;;;;;
12/12/15;0;;;;;;;
12/13/15;0;;;;;;;
12/14/15;0;;;;;;;
12/15/15;459;;;;;;;
12/16/15;348;;;;;;;
12/17/15;0;;;;;;;
12/18/15;0;;;;;;;
12/19/15;0;;;;;;;
12/20/15;0;;;;;;;
12/21/15;0;;;;;;;
12/22/15;128;;;;;;;
12/23/15;765;;;;;;;
12/24/15;865;;;;;;;
12/25/15;371;;;;;;;
12/26/15;0;;;;;;;
12/27/15;0;;;;;;;
12/28/15;1.045;;;;;;;
12/29/15;0;;;;;;;
12/30/15;188;;;;;;;
12/31/15;0;;;;;;;
1/1/16;0;;;;;;;
1/2/16;13;;;;;;;
1/3/16;0;;;;;;;
1/4/16;0;;;;;;;
1/5/16;0;;;;;;;
1/6/16;0;;;;;;;
1/7/16;0;;;;;;;
1/8/16;0;;;;;;;
1/9/16;0;;;;;;;
1/10/16;0;;;;;;;
1/11/16;255;;;;;;;
1/12/16;0;;;;;;;
1/13/16;105;;;;;;;
1/14/16;0;;;;;;;
1/15/16;453;;;;;;;
1/16/16;245;;;;;;;
1/17/16;0;;;;;;;
1/18/16;0;;;;;;;
1/19/16;0;;;;;;;
1/20/16;0;;;;;;;
1/21/16;0;;;;;;;
1/22/16;282;;;;;;;
1/23/16;245;;;;;;;
1/24/16;842;;;;;;;
1/25/16;124;;;;;;;
1/26/16;24;;;;;;;
1/27/16;1.389;;;;;;;
1/28/16;232;;;;;;;
1/29/16;0;;;;;;;
1/30/16;855;;;;;;;
1/31/16;92;;;;;;;
2/1/16;389;;;;;;;
2/2/16;129;;;;;;;
2/3/16;121;;;;;;;
2/4/16;117;;;;;;;
2/5/16;0;;;;;;;
2/6/16;0;;;;;;;
2/7/16;0;;;;;;;
2/8/16;0;;;;;;;
2/9/16;0;;;;;;;
2/10/16;0;;;;;;;
2/11/16;0;;;;;;;
2/12/16;0;;;;;;;
2/13/16;93;;;;;;;
2/14/16;0;;;;;;;
2/15/16;0;;;;;;;
2/16/16;0;;;;;;;
2/17/16;464;;;;;;;
2/18/16;0;;;;;;;
2/19/16;17;;;;;;;
2/20/16;347;;;;;;;
2/21/16;0;;;;;;;
2/22/16;938;;;;;;;
2/23/16;207;;;;;;;
2/24/16;879;;;;;;;
2/25/16;0;;;;;;;
2/26/16;0;;;;;;;
2/27/16;0;;;;;;;
2/28/16;120;;;;;;;
2/29/16;0;;;;;;;
3/1/16;0;;;;;;;
3/2/16;0;;;;;;;
3/3/16;0;;;;;;;
3/4/16;0;;;;;;;
3/5/16;0;;;;;;;
3/6/16;0;;;;;;;
3/7/16;208;;;;;;;
3/8/16;187;;;;;;;
3/9/16;0;;;;;;;
3/10/16;0;;;;;;;
3/11/16;0;;;;;;;
3/12/16;0;;;;;;;
3/13/16;0;;;;;;;
3/14/16;0;;;;;;;
3/15/16;0;;;;;;;
3/16/16;1.230;;;;;;;
3/17/16;1.184;;;;;;;
3/18/16;0;;;;;;;
3/19/16;1.189;;;;;;;
3/20/16;727;;;;;;;
3/21/16;619;;;;;;;
3/22/16;0;;;;;;;
3/23/16;0;;;;;;;
3/24/16;0;;;;;;;
