;Date;Arrivals.to.Italy;icon1;moonPhase1;apparentTemperatureMin1;apparentTemperatureMax1;precipType1;precipIntensity1;precipIntensityMax1;temperatureMin1;temperatureMax1;precipProbability1;cloudCover1;dewPoint1;humidity1;windSpeed1;windBearing1;visibility1
1;2015-10-01;343;clear-day;0.51;68;81.81;rain;NA;NA;68;82;NA;NA;60.64;0.61;3.22;92;5.06
2;2015-10-02;0;partly-cloudy-night;0.55;70;83.23;rain;NA;NA;70;82;NA;0.65;63.02;0.63;6.75;95;4.79
3;2015-10-03;128;partly-cloudy-night;0.59;69.7;84.33;rain;NA;NA;69.7;84;NA;0.45;63.24;0.65;7.64;107;5.04
4;2015-10-04;62;clear-day;0.62;70;86.09;rain;NA;NA;70;88;NA;NA;62.66;0.62;4.64;116;4.74
5;2015-10-05;0;partly-cloudy-night;0.66;73;83.55;rain;NA;NA;73;82;NA;0.33;65.1;0.67;6.44;86;4.97
6;2015-10-06;2001;partly-cloudy-night;0.7;72.37;84.99;rain;NA;NA;72.37;82;NA;0.56;68.58;0.76;11.02;73;5.08
7;2015-10-07;1010;partly-cloudy-night;0.73;73;85.8;rain;NA;NA;73;82;NA;0.52;70.87;0.8;3.52;14;4.54
8;2015-10-08;0;partly-cloudy-night;0.76;71.95;87.34;rain;NA;NA;71.95;86;NA;0.25;66.22;0.68;1.62;288;4.67
9;2015-10-09;572;fog;0.8;72;88.17;rain;NA;NA;72;88;NA;0;62.24;0.57;1.1;262;3.66
10;2015-10-10;134;clear-day;0.83;77;90.57;rain;NA;NA;77;92.17;NA;0;60.95;0.49;1.33;185;4.77
11;2015-10-11;237;partly-cloudy-night;0.86;77;89.85;rain;NA;NA;77;85.97;NA;0.08;67.63;0.66;12.27;92;5.01
12;2015-10-12;698;fog;0.89;76.91;98.09;rain;NA;NA;76.91;102;NA;0.18;60.57;0.51;5.99;144;3.76
13;2015-10-13;0;fog;0.92;77;89.11;rain;NA;NA;77;91;NA;NA;65.95;0.62;1.64;337;3.18
14;2015-10-14;207;partly-cloudy-night;0.95;71.44;83.23;rain;NA;NA;71.44;82;NA;0.37;63.7;0.65;0.91;322;4.69
15;2015-10-15;0;partly-cloudy-night;0.98;69.57;84.25;rain;NA;NA;69.57;82;NA;0.33;63.58;0.65;6.41;96;5.06
16;2015-10-16;102;clear-day;0.01;71.78;90.34;rain;NA;NA;71.78;88;NA;0.03;65.19;0.63;7.04;110;5.15
17;2015-10-17;0;partly-cloudy-night;0.04;73;96.56;rain;NA;NA;73;99;NA;0.07;60.17;0.49;6.68;139;4.89
18;2015-10-18;0;partly-cloudy-night;0.07;73;87.71;rain;NA;NA;73;91;NA;0.16;53.32;0.39;5.82;215;4.8
19;2015-10-19;125;clear-day;0.11;72.5;82.85;rain;NA;NA;72.5;84;NA;0.29;60.75;0.58;0.81;326;5.04
20;2015-10-20;979;clear-day;0.14;70;84.25;rain;NA;NA;70;82;NA;NA;67.49;0.74;4.67;85;4.25
21;2015-10-21;219;partly-cloudy-night;0.17;75;86.88;rain;NA;NA;75;82;NA;NA;70.31;0.76;7.12;90;4.26
22;2015-10-22;76;wind;0.2;66.56;82.69;rain;NA;NA;66.56;81.59;NA;0.3;65.73;0.7;6.2;347;5.2
23;2015-10-23;0;fog;0.24;71.47;87.93;rain;NA;NA;71.47;90;NA;0.4;59.53;0.54;6.11;219;4.65
24;2015-10-24;0;partly-cloudy-night;0.27;72.86;87.36;rain;NA;NA;72.86;90.11;NA;0.42;60.99;0.55;7.77;244;4.22
25;2015-10-25;0;clear-day;0.31;70;80.93;rain;NA;NA;70;82;NA;0.53;57.66;0.54;12.44;287;4.72
26;2015-10-26;0;partly-cloudy-night;0.35;65.14;75;rain;NA;NA;65.14;75;NA;0.65;53.91;0.55;13.61;316;4.41
27;2015-10-27;224;partly-cloudy-day;0.39;66;73;rain;NA;NA;66;73;NA;0.65;56.4;0.62;6.55;345;4.44
28;2015-10-28;218;partly-cloudy-night;0.42;65.72;75;rain;NA;NA;65.72;75;NA;0.62;61.17;0.75;1.33;342;4.08
29;2015-10-29;0;partly-cloudy-night;0.46;63;79;rain;NA;NA;63;79;NA;0.52;58.63;0.68;2.01;150;4.6
30;2015-10-30;823;clear-day;0.51;66.34;80.61;rain;NA;NA;66.34;81.26;NA;0.05;57.77;0.61;3.18;218;5.05
31;2015-10-31;0;clear-day;0.54;67.87;81.45;rain;NA;NA;67.87;82;NA;0.1;58.63;0.6;1.95;131;5.02
32;2015-11-01;0;clear-day;0.57;63;81.39;rain;NA;NA;63;81;NA;0.26;59.32;0.64;4.25;89;4.41
33;2015-11-02;0;partly-cloudy-night;0.61;65.84;74.49;rain;NA;NA;65.84;74.49;NA;0.47;59.37;0.68;5.45;33;4.39
34;2015-11-03;0;partly-cloudy-day;0.64;61.06;72.96;rain;NA;NA;61.06;72.96;NA;0.48;54.2;0.64;6.23;260;3.83
35;2015-11-04;0;clear-day;0.68;59;77;rain;NA;NA;59;77;NA;0.16;52.03;0.58;5.45;245;4.46
36;2015-11-05;526;partly-cloudy-night;0.71;60.77;75;rain;NA;NA;60.77;75;NA;0.31;57.35;0.69;1.58;328;5
37;2015-11-06;920;partly-cloudy-day;0.74;63;77.01;rain;NA;NA;63;77.01;NA;0.34;59.15;0.69;1.09;83;5.16
38;2015-11-07;0;partly-cloudy-day;0.78;62.69;77;rain;NA;NA;62.69;77;NA;0.31;58.64;0.68;0.61;112;5
39;2015-11-08;9;partly-cloudy-night;0.81;63;79;rain;NA;NA;63;79;NA;0.25;57.72;0.65;1.12;270;4.52
40;2015-11-09;6;fog;0.84;63.81;73;rain;NA;NA;63.81;73;NA;0.61;60.52;0.83;3.12;219;3.38
41;2015-11-10;0;clear-day;0.87;59;75;rain;NA;NA;59;75;NA;0.51;59.63;0.76;1.25;116;3.59
42;2015-11-11;24;partly-cloudy-night;0.9;63;75;rain;NA;NA;63;75;NA;0.35;56.94;0.67;4.32;53;4.55
